Montana Business Search

Business Name or Number,son
,Contains
System Through Date,11/08/2019

Entity Name,Entity Number,Known in Montana As/Alternate Name,Status,Registration Date,Postal Address
JASON WARD,I226344,N/A,Active Good Standing,10/09/2008,"Street Address 1 N CHOTEAU AVE, HARDIN, Montana, 59034, United States Mailing Address"
"PARSONS BEHLE & LATIMER, A PROFESSIONAL CORPORATION",CRA0000120,N/A,Active Good Standing,11/01/2019,"Street Address 110 East Broadway, Suite 206, Missoula, Montana, 59802, United States Mailing Address P.O. Box 7369, Missoula, Montana, 59807, United States"
"ANDERSON REGISTERED AGENTS, INC.",CRA0000122,N/A,Active Good Standing,11/06/2019,"Street Address 1925 Grand Avenue, Suite 127, Billings, Montana, 59102, United States Mailing Address Montana, United States"
"BJORNSON CORPORATE SERVICES, LLC",I328109,N/A,Active Good Standing,06/02/2016,"Street Address 2809 GREAT NORTHERN LOOP #100, MISSOULA, Montana, 59808, United States Mailing Address"
J E LARSON DAVIS,I236690,N/A,Active Good Standing,03/30/2009,"Street Address 2047 N LAST CHANCE GULCH #200, HELENA, Montana, 59601, United States Mailing Address"
PERSONAL TOUCH,A013180,N/A,Inactive Expired,01/14/1987,Assumed Business Name,
RYAN J. BORK CONSTRUCTION & MASONRY,A034101,N/A,Inactive Expired,03/23/1993,Assumed Business Name,
ROBERTSON'S FIRE WOOD,A028063,N/A,Inactive Expired,10/09/1991,Assumed Business Name,
POLSON FARMERS MARKET,A179161,N/A,"Inactive, Cancelled",06/03/2010,Assumed Business Name,
BOB HANSON CONSTRUCTION,A027033,N/A,"Inactive, Cancelled",06/17/1991,Assumed Business Name,
FORDYCE ERICKSON DRYWALL,A184035,N/A,Inactive Expired,10/29/2010,Assumed Business Name,
MADISON RIVER WOODWORKS,A063366,N/A,Inactive Expired,11/05/1997,Assumed Business Name,
"KMR LARSON RANCH, J.V.",A067108,N/A,Inactive Expired,05/19/1998,Assumed Business Name,
THE SONSHINE HOUSE,A073994,N/A,Inactive Expired,06/03/1999,Assumed Business Name,
NELSONS TIRE,A208670,N/A,Active Good Standing,11/08/2012,Assumed Business Name,
HANSON CREEK TREE FARM,A010166,N/A,Active Good Standing,11/21/1985,Assumed Business Name,
PAXSON PLAZA,A006109,N/A,Inactive Expired,05/07/1984,Assumed Business Name,
A. L. WILLIAMS/DALE A. GUNDERSON,A015627,N/A,Inactive Expired,11/12/1987,Assumed Business Name,
GIGGEY & SON'S CONSTRUCTION,A108160,N/A,Inactive Expired,11/28/2003,Assumed Business Name,
"PAT BECK'S MASONRY, TILE & CONCRETE",A108695,N/A,Inactive Expired,12/24/2003,Assumed Business Name,
JULIE MARLENE JOHNSON ENTERPRISES,A132270,N/A,Inactive Expired,04/06/2006,Assumed Business Name,
ROCKY MOUNTAIN SHOWERS/THOMAS J. ANDERSON,A108466,N/A,Inactive Expired,12/18/2003,Assumed Business Name,
LEO LARSON DBA MONTANA RAFT FRAMES,A223745,N/A,Active Good Standing,02/20/2014,Assumed Business Name,
MADISON AVE OLD TIME PHOTOS,A215289,N/A,Active Good Standing,05/20/2013,Assumed Business Name,
LENS ON LIFE PHOTOGRAPHY BY CHARLIE,A245968,N/A,Active Good Standing,11/30/2015,Assumed Business Name,
ROYAL & SONS,A156729,N/A,Inactive Expired,05/16/2008,Assumed Business Name,
PAM JOHNSON DESIGNS,A061593,N/A,Inactive Expired,07/25/1997,Assumed Business Name,
QUALITY MASONRY,A230973,N/A,Inactive Expired,09/15/2014,Assumed Business Name,
COPPER MOUNTAIN MASONRY,A115087,N/A,Inactive Expired,08/17/2004,Assumed Business Name,
HANDS ON MASSAGE,A234702,N/A,Active Pending Expiration,01/15/2015,Assumed Business Name,
EARL W. HANSON CONSULTING,A214929,N/A,Inactive Expired,05/09/2013,Assumed Business Name,
JEFFERSON RIVER CARRY OPTIONS,A111985,N/A,Inactive Expired,04/15/2004,Assumed Business Name,
HANDS ON INVESTIGATIONS,A155707,N/A,Inactive Expired,04/23/2008,Assumed Business Name,
JACKSON CREEK CRANE SERVICE,A081190,N/A,Inactive Expired,06/28/2000,Assumed Business Name,
CORNERSTONE MASONRY,A042904,N/A,Inactive Expired,10/27/1994,Assumed Business Name,
RIVERSONG GOURMET,A133881,N/A,Inactive Expired,05/24/2006,Assumed Business Name,
TRONSON AGENCY,A115859,N/A,Inactive Expired,09/15/2004,Assumed Business Name,
A. L. WILLIAMS/THOMAS H. ROBINSON OFFICE,A016021,N/A,Inactive Expired,01/11/1988,Assumed Business Name,
HENDRICKSON COURT REPORTING,A023540,N/A,Inactive Expired,06/18/1990,Assumed Business Name,
SAM'SON,A155649,N/A,"Inactive, Cancelled",04/21/2008,Assumed Business Name,
BRIDGET MCPHERSON PHOTOGRAPHY,A130010,N/A,Inactive Expired,02/02/2006,Assumed Business Name,
A. L. WILLIAMS/GAIL C. HALVERSON,A016188,N/A,Inactive Expired,01/28/1988,Assumed Business Name,
RICHERSON CONSTRUCTION,A190491,N/A,Inactive Expired,05/05/2011,Assumed Business Name,
BIG JOHNSON ENTERPRISES,A168724,N/A,Inactive Expired,06/29/2009,Assumed Business Name,
CARLSON TRUCKING,A162768,N/A,Inactive Expired,12/22/2008,Assumed Business Name,
THOMPSON LAKE PROPERTIES,A136925,N/A,Inactive Expired,08/29/2006,Assumed Business Name,
ALL SEASONS CAR WASH,A012615,N/A,Active Good Standing,10/22/1986,Assumed Business Name,
NELSON CONSTRUCTION,A045398,N/A,Inactive Expired,03/17/1995,Assumed Business Name,
CRAZY MT. MASONRY,A159631,N/A,Inactive Expired,08/21/2008,Assumed Business Name,
RUSS BERGESON CONSTRUCTION,A053421,N/A,"Inactive, Cancelled",05/07/1996,Assumed Business Name,
A. L. WILLIAMS/DAISY WATSON,A021872,N/A,Inactive Expired,12/27/1989,Assumed Business Name,
DODSON'S CUSTOM JEWELRY AND GEMS,A010704,N/A,Inactive Expired,02/07/1986,Assumed Business Name,
PRESS ON INK,A118726,N/A,Inactive Expired,01/27/2005,Assumed Business Name,
CRAFT MASONRY,A159740,N/A,Inactive Expired,08/28/2008,Assumed Business Name,
RONALD W. MATHESON DBA RIDGE RUNNER,A232803,N/A,Active Pending Expiration,11/10/2014,Assumed Business Name,
BRYON HARRISON HOMES,A253916,N/A,Active Good Standing,07/01/2016,Assumed Business Name,
PEAK PERFORMANCE PERSONAL TRAINING,A115734,N/A,Inactive Expired,09/21/2004,Assumed Business Name,
DAVE'S DECKS - FOUR SEASONS SOLAR PRODUCTS,A051578,N/A,Inactive Expired,02/13/1996,Assumed Business Name,
"DAN L. WILSON, CONSTRUCTION",A204287,N/A,"Inactive, Cancelled",06/22/2012,Assumed Business Name,
J&T'S ONE STOP,A084398,N/A,Inactive Expired,01/11/2001,Assumed Business Name,
THOMPSON LANDSCAPING,A156532,N/A,Inactive Expired,05/13/2008,Assumed Business Name,
NELSON DESIGN SERVICE,A019423,N/A,Inactive Expired,03/10/1989,Assumed Business Name,
NELSON PAINTING,A218180,N/A,Active Good Standing,09/03/2013,Assumed Business Name,
"""REGRETS ONLY""",A074590,N/A,Inactive Expired,07/01/1999,Assumed Business Name,
KING STONE MASONRY,A145524,N/A,"Inactive, Cancelled",06/11/2007,Assumed Business Name,
MARK ANDERSON ROOFING,A181210,N/A,Inactive Expired,08/05/2010,Assumed Business Name,
SNELL JOHNSON CONSTRUCTION,A192336,N/A,Inactive Expired,06/27/2011,Assumed Business Name,
BERGER MASONRY,A208307,N/A,Inactive Expired,10/29/2012,Assumed Business Name,
JACKSON TRANSPORT,A209076,N/A,Inactive Expired,12/03/2012,Assumed Business Name,
LOWELL A HANSON,A118943,N/A,Inactive Expired,01/19/2005,Assumed Business Name,
PETERSON ROOFING,A221817,N/A,Inactive Expired,12/23/2013,Assumed Business Name,
WILSON'S DEVELOPMENT,A091712,N/A,Inactive Expired,01/10/2002,Assumed Business Name,
KAREN JOHNSON STAINED GLASS,A071422,N/A,Inactive Expired,01/29/1999,Assumed Business Name,
ALLISON SADDLERY,A079955,N/A,Inactive Expired,04/26/2000,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES - DIANE JOHNSON,A167463,N/A,Inactive Expired,05/19/2009,Assumed Business Name,
ANDERSON BONDING,A101181,N/A,Inactive Expired,02/28/2003,Assumed Business Name,
LINAFELTER & SON CONSTRUCTION,A099930,N/A,Active Good Standing,01/06/2003,Assumed Business Name,
SUBSONIK DJ SERVICE,A088450,N/A,Inactive Expired,07/19/2001,Assumed Business Name,
BARRETT'S MASONRY,A113459,N/A,Inactive Expired,06/10/2004,Assumed Business Name,
EARTH SEASONS,A074604,N/A,Inactive Expired,07/01/1999,Assumed Business Name,
PIERSON QUARTER HORSES,A123976,N/A,Inactive Expired,07/01/2005,Assumed Business Name,
MADISON COUNTY HOME INSPECTIONS,A119286,N/A,Active Pending Expiration,02/01/2005,Assumed Business Name,
PARSON & ASSOC. REAL ESTATE,A065449,N/A,Inactive Expired,03/04/1998,Assumed Business Name,
JOHNSON MANAGEMENT,A006602,N/A,Inactive Expired,07/31/1984,Assumed Business Name,
DOUG NELSON TRUCKING,A213880,N/A,Inactive Expired,04/09/2013,Assumed Business Name,
KNUTSON CONSTRUCTION,A227725,N/A,Inactive Expired,06/17/2014,Assumed Business Name,
"CATERING ""WITH A PERSONAL TOUCH""",A020134,N/A,Inactive Expired,05/25/1989,Assumed Business Name,
MATTESON MASONRY,A123810,N/A,Inactive Expired,06/27/2005,Assumed Business Name,
WILLIAMSON TAXIDERMY,A196658,N/A,Inactive Expired,11/15/2011,Assumed Business Name,
FELICIA'S PERSONALIZED PAPER CREATIONS,A085385,N/A,Inactive Expired,02/27/2001,Assumed Business Name,
JOHNSON CONSULTING,A177373,N/A,Active Good Standing,04/08/2010,Assumed Business Name,
BRIAN'S ON-SITE REPAIR,A046416,N/A,Inactive Expired,05/04/1995,Assumed Business Name,
SWANSON'S MOBILE FORKLIFT SERVICE,A024007,N/A,Inactive Expired,08/14/1990,Assumed Business Name,
SAMANTHA WILSON,A237123,N/A,Active Good Standing,03/17/2015,Assumed Business Name,
BRONSON BUSINESS VALUATIONS,A133774,N/A,Inactive Expired,05/16/2006,Assumed Business Name,
SINGER AND SIMPSON PRODUCTIONS,A212071,N/A,Inactive Expired,02/28/2013,Assumed Business Name,
THOMPSON FALLS MINI STORAGE,A229281,N/A,Active Good Standing,07/23/2014,Assumed Business Name,
FOUR SEASON DOORS,A106149,N/A,Inactive Expired,09/04/2003,Assumed Business Name,
PALACIOS & SON'S DRYWALL,A181230,N/A,Inactive Expired,08/05/2010,Assumed Business Name,
JOHNSON STRUCTURAL,A116011,N/A,Inactive Expired,09/21/2004,Assumed Business Name,
HELPING HANDS PERSONAL CARE,A191546,N/A,Inactive Expired,06/03/2011,Assumed Business Name,
A. L. WILLIAMS/ANDERSON,A004878,N/A,Inactive Expired,09/26/1983,Assumed Business Name,
ANDERSON LOGISTICS,A225431,N/A,Inactive Expired,04/14/2014,Assumed Business Name,
A. L. WILLIAMS/WILLIAM R. TRONSON OFFICE,A017770,N/A,Inactive Expired,08/03/1988,Assumed Business Name,
FAIRCHILD AND SONS MASONRY,A107266,N/A,Inactive Expired,10/20/2003,Assumed Business Name,
ANDERSON SERVICE,A029517,N/A,"Inactive, Cancelled",02/28/1992,Assumed Business Name,
ALL SEASON GUTTER,A104151,N/A,Inactive Expired,06/12/2003,Assumed Business Name,
LYNDA'S PERSONAL TOUCH,A035513,N/A,Inactive Expired,06/25/1993,Assumed Business Name,
MADISON SEAMLESS RAINGUTTERS,A113943,N/A,Inactive Expired,07/13/2004,Assumed Business Name,
JEREMIAH JOHNSON SADDLERY,A086865,N/A,Inactive Expired,04/27/2001,Assumed Business Name,
T & H MASONRY,A060123,N/A,Inactive Expired,05/06/1997,Assumed Business Name,
YOUR PERSONAL HEALTH,A175473,N/A,Inactive Expired,02/18/2010,Assumed Business Name,
SHASTA CONSTRUCTION AND MASONRY,A155728,N/A,Inactive Expired,04/23/2008,Assumed Business Name,
FOR ALL SEASONS,A019193,N/A,Inactive Expired,02/13/1989,Assumed Business Name,
KELLY NELSON PHOTOGRAPHY,A045419,N/A,Inactive Expired,03/20/1995,Assumed Business Name,
JEFFERSON VALLY LANDSCAPING,A092040,N/A,Inactive Expired,01/25/2002,Assumed Business Name,
BK AND SONS BUILDERS,A162506,N/A,Inactive Expired,12/08/2008,Assumed Business Name,
BASTARD SON BREWING,A181041,N/A,Inactive Expired,07/30/2010,Assumed Business Name,
BAKER & SONS PROPERTY MAINTENANCE,A208843,N/A,Active Good Standing,11/15/2012,Assumed Business Name,
CASEY PETERSON AUTO,A248282,N/A,Active Good Standing,02/18/2016,Assumed Business Name,
WARREN ANDERSON CONSTRUCTION,A198394,N/A,Inactive Expired,01/11/2012,Assumed Business Name,
JASON THOMPSON PHOTOGRAPHY,A112981,N/A,Inactive Expired,05/25/2004,Assumed Business Name,
WILSON MOBILE WELDING SERVICE,A182741,N/A,Active Good Standing,09/22/2010,Assumed Business Name,
SWAN & SON BUILDERS,A171377,N/A,Inactive Expired,10/06/2009,Assumed Business Name,
CHAD ELLISON CONSTRUCTION,A190794,N/A,Inactive Expired,05/13/2011,Assumed Business Name,
PEDERSEN & SONS ELECTRIC,A024643,N/A,Inactive Expired,10/24/1990,Assumed Business Name,
DANA RAY WILSON CONSTRUCTION,A052906,N/A,Inactive Expired,04/15/1996,Assumed Business Name,
ANDERSON INTERIORS,A175768,N/A,Inactive Expired,02/25/2010,Assumed Business Name,
SHAWNA BENSON PHOTOGRAPHY,A147432,N/A,Active Good Standing,07/30/2007,Assumed Business Name,
JACE JOHNSON CONSTRUCTION,A164629,N/A,Inactive Expired,02/25/2009,Assumed Business Name,
GLENN JACKSON'S CUSTOM LEATHER GOODS,A066473,N/A,Inactive Expired,04/17/1998,Assumed Business Name,
SCOTT'S ONE STOP JANITORIAL,A227383,N/A,Active Good Standing,05/29/2014,Assumed Business Name,
KYLE HORETSKI MASONRY,A123304,N/A,Inactive Expired,06/07/2005,Assumed Business Name,
HOMES ON THE RANGE,A089789,N/A,Inactive Expired,09/26/2001,Assumed Business Name,
JASON BERG PHOTOGRAPHY,A140458,N/A,Inactive Expired,01/04/2007,Assumed Business Name,
BISON BAGELS,A064597,N/A,Inactive Expired,01/16/1998,Assumed Business Name,
SCOTT JOHNSON CONSTRUCTION,A221326,N/A,Inactive Expired,12/06/2013,Assumed Business Name,
RON EDWARDS & SONS CONSTRUCTION,A181638,N/A,Inactive Expired,08/19/2010,Assumed Business Name,
W.R. OLSON MASONRY,A233441,N/A,Active Pending Expiration,12/03/2014,Assumed Business Name,
ALL SEASON'S SERVICE OF RED LODGE,A134960,N/A,"Inactive, Cancelled",06/29/2006,Assumed Business Name,
HUSON MERCANTILE,A033838,N/A,"Inactive, Cancelled",03/08/1993,Assumed Business Name,
BRIAN T. ATCHESON ATTORNEY AT LAW,A037855,N/A,Inactive Expired,12/27/1993,Assumed Business Name,
LOWERY MASONRY & CONSTRUCTION,A059895,N/A,Inactive Expired,04/24/1997,Assumed Business Name,
ADDISON SQUARE GARDENS,A071303,N/A,Inactive Expired,01/20/1999,Assumed Business Name,
PETERSON PAINTING SERVICE,A253479,N/A,Active Good Standing,06/17/2016,Assumed Business Name,
A. L. WILLIAMS/DICKINSON,A003272,N/A,Inactive Expired,10/06/1982,Assumed Business Name,
MARTINSON CONSTRUCTION,A155477,N/A,Inactive Expired,04/14/2008,Assumed Business Name,
A. L. WILLIAMS/RANDALL ANTHONY PEARSON,A010688,N/A,Inactive Expired,02/05/1986,Assumed Business Name,
LARSON LAWN AND LANDSCAPE,A045341,N/A,Inactive Expired,03/15/1995,Assumed Business Name,
BUILDINGS ON THE MOVE,A213829,N/A,Active Good Standing,04/08/2013,Assumed Business Name,
LARSON'S GREEN VALLEY LAWN SERVICE,A184081,N/A,Active Good Standing,11/03/2010,Assumed Business Name,
CORY HITE SIMPSON,A183528,N/A,Inactive Expired,10/15/2010,Assumed Business Name,
HANSON CLEANING,A152599,N/A,Inactive Expired,01/24/2008,Assumed Business Name,
JASON HAGEN,A242908,N/A,Active Good Standing,08/31/2015,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/KATHY L THOMPSON,A048112,N/A,Inactive Expired,08/01/1995,Assumed Business Name,
ANDERSON APIARIES,A163104,N/A,"Inactive, Cancelled",01/08/2009,Assumed Business Name,
ROBERTSON WELDING,A214288,N/A,Inactive Expired,04/19/2013,Assumed Business Name,
ALLISON CONSULTING GROUP,A151953,N/A,Active Good Standing,12/28/2007,Assumed Business Name,
MADISON COUNTY TEA PARTY,A200890,N/A,Inactive Expired,03/19/2012,Assumed Business Name,
MAMA BEAR PORTRAIT STUDIO AND JENNIFER ANDERSON PHOTOGRAPHY,A170449,N/A,Inactive Expired,09/02/2009,Assumed Business Name,
A. L. WILLIAMS/GINNETTE A. NELSON OFFICE,A019088,N/A,Inactive Expired,01/30/1989,Assumed Business Name,
BRAATEN AND SON CONST.,A196264,N/A,Active Good Standing,11/03/2011,Assumed Business Name,
JORGENSON LAND,A092879,N/A,Inactive Expired,02/28/2002,Assumed Business Name,
MAXTOUNES ON THE ROAD ENTERTAINMENT,A082701,N/A,Inactive Expired,09/29/2000,Assumed Business Name,
FORDHAM SONOGRAPHICS,A046357,N/A,Inactive Expired,05/02/1995,Assumed Business Name,
WATSON TRUCKING,A138171,N/A,Active Good Standing,10/16/2006,Assumed Business Name,
MILLER & SON'S CONSTRUCTION,A198591,N/A,Inactive Expired,01/18/2012,Assumed Business Name,
CREATIVE MASONRY HOMES,A077984,N/A,Inactive Expired,01/25/2000,Assumed Business Name,
HELMER STUCCO AND MASONRY,A247949,N/A,Active Good Standing,02/08/2016,Assumed Business Name,
OLSON LAND SURVEYING,A132119,N/A,Active Good Standing,03/31/2006,Assumed Business Name,
ECKERSON AUTO GLASS,A132531,N/A,Inactive Expired,04/11/2006,Assumed Business Name,
JY MASONRY AND ROCK CARVING,A153826,N/A,Inactive Expired,03/11/2008,Assumed Business Name,
ROCK SOLID MASONRY & FLATWORK,A149274,N/A,Inactive Expired,10/10/2007,Assumed Business Name,
WILSON ARMELLS RANCH,A214760,N/A,Active Good Standing,05/06/2013,Assumed Business Name,
PERSONNEL LEASING,A040316,N/A,Inactive Expired,05/17/1994,Assumed Business Name,
GIBSON PAINTING,A217964,N/A,Inactive Expired,08/20/2013,Assumed Business Name,
KIRBY OF POLSON,A060685,N/A,Inactive Expired,06/10/1997,Assumed Business Name,
A. L. WILLIAMS/DEBRA D. THORSON,A015244,N/A,Inactive Expired,09/25/1987,Assumed Business Name,
D&C MASONRY & CONST.,A117230,N/A,Inactive Expired,11/08/2004,Assumed Business Name,
EARTHSONG ENTERPRISES,A208990,N/A,Active Good Standing,11/19/2012,Assumed Business Name,
CARRIE JOHNSON PHOTOGRAPHY,A195751,N/A,Inactive Expired,10/18/2011,Assumed Business Name,
JOANNA FERGUSON HANDY SERVICE,A226416,N/A,Inactive Expired,06/05/2014,Assumed Business Name,
ALL SEASONS ROOFING AND CONSTRUCTION,A096295,N/A,Inactive Expired,07/23/2002,Assumed Business Name,
A. L. WILLIAMS/LLOYD E. JOHNSON OFFICE,A011300,N/A,Inactive Expired,04/21/1986,Assumed Business Name,
PERSONAL CONNECTIONS,A031385,N/A,Inactive Expired,08/13/1992,Assumed Business Name,
MADISON RIVER BREWING COMPANY,A133937,N/A,Inactive Expired,06/01/2006,Assumed Business Name,
NICKELSON CONSTRUCTION,A205580,N/A,Active Good Standing,07/30/2012,Assumed Business Name,
FOR YOUR NAILS ONLY,A079804,N/A,Inactive Expired,05/02/2000,Assumed Business Name,
CHRISTIANSON PROPERTIES,A135548,N/A,Inactive Expired,07/18/2006,Assumed Business Name,
JENNISON TREE & LANDSCAPING,A253859,N/A,"Inactive, Cancelled",06/30/2016,Assumed Business Name,
OLSON SEAMLESS RAINGUTTERS,A085232,N/A,Inactive Expired,02/16/2001,Assumed Business Name,
T. S. HANSON PLUMBING,A097592,N/A,Inactive Expired,09/19/2002,Assumed Business Name,
JEFFERSONS DRAIN CLEANING,A057489,N/A,Inactive Expired,12/20/1996,Assumed Business Name,
A. L. WILLIAMS/RONALD LEE WATSON,A025194,N/A,Inactive Expired,01/08/1991,Assumed Business Name,
HUSON MERCANTILE,A141569,N/A,Involuntary Dissolution,02/07/2007,Assumed Business Name,
DICKERSON CONSTRUCTION,A171655,N/A,Inactive Expired,10/16/2009,Assumed Business Name,
JURVOS MASONRY AND MORE,A146954,N/A,Inactive Expired,07/18/2007,Assumed Business Name,
T & C NICHOLSON CONSTRUCTION,A181200,N/A,Active Good Standing,08/04/2010,Assumed Business Name,
LARSON COMPUTER CONSULTING,A023707,N/A,Inactive Expired,07/09/1990,Assumed Business Name,
NATURE CANDLES ONLINE.COM,A124878,N/A,Inactive Expired,08/04/2005,Assumed Business Name,
JACKSON TACKLE,A075974,N/A,Inactive Expired,09/17/1999,Assumed Business Name,
POLSON HEALTH CLINIC,A246630,N/A,Active Good Standing,12/21/2015,Assumed Business Name,
WILSON TRANSPORT SERVICE,A234877,N/A,Active Pending Expiration,01/23/2015,Assumed Business Name,
THE SIMPSON GROUP,A192514,N/A,Inactive Expired,07/01/2011,Assumed Business Name,
JED WYLIE MASONRY,A200926,N/A,Inactive Expired,03/21/2012,Assumed Business Name,
ALL SEASON HEATING & AIR CONDITIONING,A076716,N/A,"Inactive, Cancelled",11/10/1999,Assumed Business Name,
MASON WOODWORKS,A091852,N/A,"Inactive, Cancelled",01/16/2002,Assumed Business Name,
JOHNSON DESIGN WORKS,A099962,N/A,Inactive Expired,01/16/2003,Assumed Business Name,
ALL SEASONS MAINTENANCE,A055177,N/A,"Inactive, Cancelled",08/06/1996,Assumed Business Name,
RICHARDSON INDEPENDENT SALES,A251228,N/A,Active Good Standing,04/20/2016,Assumed Business Name,
RAYMOND M HARRISON DBA HARRISON TILE & STONE,A185875,N/A,Inactive Expired,01/04/2011,Assumed Business Name,
POLSON TRIATHLON,A206775,N/A,Inactive Expired,09/10/2012,Assumed Business Name,
GREAT FALLS ONLINE,A082462,N/A,Inactive Expired,10/02/2000,Assumed Business Name,
A. L. WILLIAMS/ROBERT E. GOODSON OFFICE,A020323,N/A,Inactive Expired,06/22/1989,Assumed Business Name,
KEN THOMPSON EXCAVATING,A053398,N/A,Inactive Expired,05/06/1996,Assumed Business Name,
THE SINGING SONS OF BEACHES,A241450,N/A,Active Good Standing,07/16/2015,Assumed Business Name,
GREEN ARROW MASONRY,A128448,N/A,Inactive Expired,12/06/2005,Assumed Business Name,
PERSONAL COMPUTER SOLUTIONS,A039820,N/A,Inactive Expired,04/18/1994,Assumed Business Name,
PERSONNEL TESTING SERVICES,A108024,N/A,Inactive Expired,11/20/2003,Assumed Business Name,
MATHISON PAPERHANGING,A101840,N/A,Inactive Expired,03/21/2003,Assumed Business Name,
HALSTENSON CONSTRUCTION,A096336,N/A,Inactive Expired,07/25/2002,Assumed Business Name,
A. L. WILLIAMS/DONALD NELSON BLAND,A007844,N/A,Inactive Expired,02/07/1985,Assumed Business Name,
MADISON RIVER LODGE,A012160,N/A,Inactive Expired,08/19/1986,Assumed Business Name,
BAKER-HARRISON BENEFIT,A039503,N/A,Inactive Expired,04/05/1994,Assumed Business Name,
ANDERSON PUMP & WELL SERVICE,A217040,N/A,"Inactive, Cancelled",07/25/2013,Assumed Business Name,
HALVERSON AUTO BODY,A028359,N/A,Active Good Standing,11/08/1991,Assumed Business Name,
BK AND SONS BUILDERS,A234759,N/A,Active Pending Expiration,01/16/2015,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/JASON BENNETT,A052015,N/A,Inactive Expired,03/05/1996,Assumed Business Name,
WAYNE A. ROBINSON DBA PHEASANT DREAMS,A067019,N/A,Inactive Expired,05/15/1998,Assumed Business Name,
SWENSON TRUCKING,A191457,N/A,"Inactive, Cancelled",06/03/2011,Assumed Business Name,
HANDS ON HELP,A087257,N/A,Inactive Expired,05/18/2001,Assumed Business Name,
HANDS ON HEALTH,A031712,N/A,Inactive Expired,09/15/1992,Assumed Business Name,
SEASON'S FOR WOMEN,A026070,N/A,Inactive Expired,04/04/1991,Assumed Business Name,
DAWSON BUILDING,A110985,N/A,Inactive Expired,03/16/2004,Assumed Business Name,
HARPER AND MADISON,A180481,N/A,"Inactive, Cancelled",07/19/2010,Assumed Business Name,
VISIONS IN WOOD & ART BY D.K WILSON,A173703,N/A,Active Pending Expiration,12/22/2009,Assumed Business Name,
GREAT FALLS PERSONAL CARE,A090313,N/A,Inactive Expired,10/24/2001,Assumed Business Name,
SONRAY MARKETING,A182417,N/A,Active Good Standing,09/13/2010,Assumed Business Name,
A. L. WILLIAMS/SIDNEY L. ANDERSON,A009251,N/A,Inactive Expired,07/29/1985,Assumed Business Name,
A. L. WILLIAMS/KENT THOMPSON OFFICE,A024343,N/A,Inactive Expired,09/20/1990,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/GLORENA R. WILSON,A038140,N/A,Inactive Expired,01/14/1994,Assumed Business Name,
LAVE MASONRY,A175632,N/A,Active Good Standing,02/23/2010,Assumed Business Name,
OLSON SNOW REMOVAL,A248670,N/A,Active Good Standing,02/18/2016,Assumed Business Name,
BISON METALS,A199685,N/A,Inactive Expired,02/15/2012,Assumed Business Name,
JOHNSON & ASSOCIATES,A032080,N/A,Inactive Expired,10/15/1992,Assumed Business Name,
BISON PUBLISHING,A093459,N/A,Inactive Expired,03/25/2002,Assumed Business Name,
DENSON TECHNOLOGIES,A221464,N/A,Inactive Expired,12/11/2013,Assumed Business Name,
N PETERSON CARPENTRY,A212525,N/A,Inactive Expired,03/07/2013,Assumed Business Name,
KESTERSON CONSTRUCTION,A169363,N/A,Inactive Expired,07/24/2009,Assumed Business Name,
WILKINSON DRYWALL,A217607,N/A,Active Good Standing,08/08/2013,Assumed Business Name,
